Image,Emotion,Hair_length,Hair_color,Eye,Gender,Ethnicity,Age
./images/1_512.jpg,joy,long,brown,brown,male,black,young-adult
./images/1_512.jpg,joy,long,brown,brown,male,black,young-adult
./images/1_512.jpg,joy,long,brown,brown,male,black,young-adult
./images/1_512.jpg,joy,long,brown,brown,male,black,young-adult
./images/1_512.jpg,joy,long,brown,brown,male,black,young-adult
./images/2_512.jpg,joy,long,brown,brown,female,black,young-adult
./images/2_512.jpg,joy,long,brown,brown,female,black,young-adult
./images/2_512.jpg,joy,long,brown,brown,female,black,young-adult
./images/2_512.jpg,joy,long,brown,brown,female,black,young-adult
./images/2_512.jpg,joy,long,brown,brown,female,black,young-adult
./images/3_512.jpg,neutral,long,brown,brown,male,asian,young-adult
./images/3_512.jpg,neutral,long,brown,brown,male,asian,young-adult
./images/3_512.jpg,neutral,long,brown,brown,male,asian,young-adult
./images/3_512.jpg,neutral,long,brown,brown,male,asian,young-adult
./images/3_512.jpg,neutral,long,brown,brown,male,asian,young-adult
./images/4_512.jpg,joy,long,brown,brown,female,black,young-adult
./images/4_512.jpg,joy,long,brown,brown,female,black,young-adult
./images/4_512.jpg,joy,long,brown,brown,female,black,young-adult
./images/4_512.jpg,joy,long,brown,brown,female,black,young-adult
./images/4_512.jpg,joy,long,brown,brown,female,black,young-adult
./images/5_512.jpg,neutral,long,brown,brown,female,latino,young-adult
./images/5_512.jpg,neutral,long,brown,brown,female,latino,young-adult
./images/5_512.jpg,neutral,long,brown,brown,female,latino,young-adult
./images/5_512.jpg,neutral,long,brown,brown,female,latino,young-adult
./images/5_512.jpg,neutral,long,brown,brown,female,latino,young-adult
./images/6_512.jpg,neutral,long,black,brown,female,latino,young-adult
./images/6_512.jpg,neutral,long,black,brown,female,latino,young-adult
./images/6_512.jpg,neutral,long,black,brown,female,latino,young-adult
./images/6_512.jpg,neutral,long,black,brown,female,latino,young-adult
./images/6_512.jpg,neutral,long,black,brown,female,latino,young-adult
./images/7_512.jpg,joy,long,brown,brown,female,white,young-adult
./images/7_512.jpg,joy,long,brown,brown,female,white,young-adult
./images/7_512.jpg,joy,long,brown,brown,female,white,young-adult
./images/7_512.jpg,joy,long,brown,brown,female,white,young-adult
./images/7_512.jpg,joy,long,brown,brown,female,white,young-adult
./images/8_512.jpg,joy,long,brown,brown,female,black,young-adult
./images/8_512.jpg,joy,long,brown,brown,female,black,young-adult
./images/8_512.jpg,joy,long,brown,brown,female,black,young-adult
./images/8_512.jpg,joy,long,brown,brown,female,black,young-adult
./images/8_512.jpg,joy,long,brown,brown,female,black,young-adult
./images/9_512.jpg,joy,long,black,brown,female,black,young-adult
./images/9_512.jpg,joy,long,black,brown,female,black,young-adult
./images/9_512.jpg,joy,long,black,brown,female,black,young-adult
./images/9_512.jpg,joy,long,black,brown,female,black,young-adult
./images/9_512.jpg,joy,long,black,brown,female,black,young-adult
./images/10_512.jpg,joy,long,brown,brown,female,latino,young-adult
./images/10_512.jpg,joy,long,brown,brown,female,latino,young-adult
./images/10_512.jpg,joy,long,brown,brown,female,latino,young-adult
./images/10_512.jpg,joy,long,brown,brown,female,latino,young-adult
./images/10_512.jpg,joy,long,brown,brown,female,latino,young-adult
./images/11_512.jpg,joy,long,brown,brown,female,black,young-adult
./images/11_512.jpg,joy,long,brown,brown,female,black,young-adult
./images/11_512.jpg,joy,long,brown,brown,female,black,young-adult
./images/11_512.jpg,joy,long,brown,brown,female,black,young-adult
./images/11_512.jpg,joy,long,brown,brown,female,black,young-adult
./images/12_512.jpg,neutral,long,black,brown,male,latino,young-adult
./images/12_512.jpg,neutral,long,black,brown,male,latino,young-adult
./images/12_512.jpg,neutral,long,black,brown,male,latino,young-adult
./images/12_512.jpg,neutral,long,black,brown,male,latino,young-adult
./images/12_512.jpg,neutral,long,black,brown,male,latino,young-adult
./images/13_512.jpg,joy,long,brown,brown,male,black,young-adult
./images/13_512.jpg,joy,long,brown,brown,male,black,young-adult
./images/13_512.jpg,joy,long,brown,brown,male,black,young-adult
./images/13_512.jpg,joy,long,brown,brown,male,black,young-adult
./images/13_512.jpg,joy,long,brown,brown,male,black,young-adult
./images/14_512.jpg,joy,long,brown,brown,female,latino,young-adult
./images/14_512.jpg,joy,long,brown,brown,female,latino,young-adult
./images/14_512.jpg,joy,long,brown,brown,female,latino,young-adult
./images/14_512.jpg,joy,long,brown,brown,female,latino,young-adult
./images/14_512.jpg,joy,long,brown,brown,female,latino,young-adult
./images/15_512.jpg,neutral,long,brown,brown,female,white,young-adult
./images/15_512.jpg,neutral,long,brown,brown,female,white,young-adult
./images/15_512.jpg,neutral,long,brown,brown,female,white,young-adult
./images/15_512.jpg,neutral,long,brown,brown,female,white,young-adult
./images/15_512.jpg,neutral,long,brown,brown,female,white,young-adult
./images/16_512.jpg,joy,long,black,brown,female,latino,young-adult
./images/16_512.jpg,joy,long,black,brown,female,latino,young-adult
./images/16_512.jpg,joy,long,black,brown,female,latino,young-adult
./images/16_512.jpg,joy,long,black,brown,female,latino,young-adult
./images/16_512.jpg,joy,long,black,brown,female,latino,young-adult
./images/17_512.jpg,joy,long,brown,grey,female,white,young-adult
./images/17_512.jpg,joy,long,brown,grey,female,white,young-adult
./images/17_512.jpg,joy,long,brown,grey,female,white,young-adult
./images/17_512.jpg,joy,long,brown,grey,female,white,young-adult
./images/17_512.jpg,joy,long,brown,grey,female,white,young-adult
./images/18_512.jpg,joy,long,black,brown,female,black,young-adult
./images/18_512.jpg,joy,long,black,brown,female,black,young-adult
./images/18_512.jpg,joy,long,black,brown,female,black,young-adult
./images/18_512.jpg,joy,long,black,brown,female,black,young-adult
./images/18_512.jpg,joy,long,black,brown,female,black,young-adult
./images/19_512.jpg,neutral,long,brown,brown,male,white,young-adult
./images/19_512.jpg,neutral,long,brown,brown,male,white,young-adult
./images/19_512.jpg,neutral,long,brown,brown,male,white,young-adult
./images/19_512.jpg,neutral,long,brown,brown,male,white,young-adult
./images/19_512.jpg,neutral,long,brown,brown,male,white,young-adult
./images/20_512.jpg,joy,long,brown,brown,male,black,young-adult
./images/20_512.jpg,joy,long,brown,brown,male,black,young-adult
./images/20_512.jpg,joy,long,brown,brown,male,black,young-adult
./images/20_512.jpg,joy,long,brown,brown,male,black,young-adult
./images/20_512.jpg,joy,long,brown,brown,male,black,young-adult
./images/21_512.jpg,joy,long,black,brown,female,black,young-adult
./images/21_512.jpg,joy,long,black,brown,female,black,young-adult
./images/21_512.jpg,joy,long,black,brown,female,black,young-adult
./images/21_512.jpg,joy,long,black,brown,female,black,young-adult
./images/21_512.jpg,joy,long,black,brown,female,black,young-adult
./images/22_512.jpg,joy,long,brown,brown,female,white,adult
./images/22_512.jpg,joy,long,brown,brown,female,white,adult
./images/22_512.jpg,joy,long,brown,brown,female,white,adult
./images/22_512.jpg,joy,long,brown,brown,female,white,adult
./images/22_512.jpg,joy,long,brown,brown,female,white,adult
./images/23_512.jpg,joy,long,brown,brown,male,latino,young-adult
./images/23_512.jpg,joy,long,brown,brown,male,latino,young-adult
./images/23_512.jpg,joy,long,brown,brown,male,latino,young-adult
./images/23_512.jpg,joy,long,brown,brown,male,latino,young-adult
./images/23_512.jpg,joy,long,brown,brown,male,latino,young-adult
./images/24_512.jpg,joy,long,brown,brown,female,asian,young-adult
./images/24_512.jpg,joy,long,brown,brown,female,asian,young-adult
./images/24_512.jpg,joy,long,brown,brown,female,asian,young-adult
./images/24_512.jpg,joy,long,brown,brown,female,asian,young-adult
./images/24_512.jpg,joy,long,brown,brown,female,asian,young-adult
./images/25_512.jpg,neutral,long,brown,brown,male,black,young-adult
./images/25_512.jpg,neutral,long,brown,brown,male,black,young-adult
./images/25_512.jpg,neutral,long,brown,brown,male,black,young-adult
./images/25_512.jpg,neutral,long,brown,brown,male,black,young-adult
./images/25_512.jpg,neutral,long,brown,brown,male,black,young-adult
./images/26_512.jpg,joy,long,brown,brown,female,white,young-adult
./images/26_512.jpg,joy,long,brown,brown,female,white,young-adult
./images/26_512.jpg,joy,long,brown,brown,female,white,young-adult
./images/26_512.jpg,joy,long,brown,brown,female,white,young-adult
./images/26_512.jpg,joy,long,brown,brown,female,white,young-adult
./images/27_512.jpg,joy,long,black,brown,female,black,young-adult
./images/27_512.jpg,joy,long,black,brown,female,black,young-adult
./images/27_512.jpg,joy,long,black,brown,female,black,young-adult
./images/27_512.jpg,joy,long,black,brown,female,black,young-adult
./images/27_512.jpg,joy,long,black,brown,female,black,young-adult
./images/28_512.jpg,neutral,long,brown,brown,male,black,young-adult
./images/28_512.jpg,neutral,long,brown,brown,male,black,young-adult
./images/28_512.jpg,neutral,long,brown,brown,male,black,young-adult
./images/28_512.jpg,neutral,long,brown,brown,male,black,young-adult
./images/28_512.jpg,neutral,long,brown,brown,male,black,young-adult
./images/29_512.jpg,joy,long,brown,brown,male,black,young-adult
./images/29_512.jpg,joy,long,brown,brown,male,black,young-adult
./images/29_512.jpg,joy,long,brown,brown,male,black,young-adult
./images/29_512.jpg,joy,long,brown,brown,male,black,young-adult
./images/29_512.jpg,joy,long,brown,brown,male,black,young-adult
./images/30_512.jpg,neutral,long,black,brown,male,white,young-adult
./images/30_512.jpg,neutral,long,black,brown,male,white,young-adult
./images/30_512.jpg,neutral,long,black,brown,male,white,young-adult
./images/30_512.jpg,neutral,long,black,brown,male,white,young-adult
./images/30_512.jpg,neutral,long,black,brown,male,white,young-adult
./images/31_512.jpg,joy,long,brown,brown,male,white,young-adult
./images/31_512.jpg,joy,long,brown,brown,male,white,young-adult
./images/31_512.jpg,joy,long,brown,brown,male,white,young-adult
./images/31_512.jpg,joy,long,brown,brown,male,white,young-adult
./images/31_512.jpg,joy,long,brown,brown,male,white,young-adult
./images/32_512.jpg,joy,long,brown,brown,female,white,young-adult
./images/32_512.jpg,joy,long,brown,brown,female,white,young-adult
./images/32_512.jpg,joy,long,brown,brown,female,white,young-adult
./images/32_512.jpg,joy,long,brown,brown,female,white,young-adult
./images/32_512.jpg,joy,long,brown,brown,female,white,young-adult
./images/33_512.jpg,joy,long,black,brown,female,latino,young-adult
./images/33_512.jpg,joy,long,black,brown,female,latino,young-adult
./images/33_512.jpg,joy,long,black,brown,female,latino,young-adult
./images/33_512.jpg,joy,long,black,brown,female,latino,young-adult
./images/33_512.jpg,joy,long,black,brown,female,latino,young-adult
./images/34_512.jpg,joy,long,brown,brown,male,asian,young-adult
./images/34_512.jpg,joy,long,brown,brown,male,asian,young-adult
./images/34_512.jpg,joy,long,brown,brown,male,asian,young-adult
./images/34_512.jpg,joy,long,brown,brown,male,asian,young-adult
./images/34_512.jpg,joy,long,brown,brown,male,asian,young-adult
./images/35_512.jpg,joy,long,black,brown,female,asian,young-adult
./images/35_512.jpg,joy,long,black,brown,female,asian,young-adult
./images/35_512.jpg,joy,long,black,brown,female,asian,young-adult
./images/35_512.jpg,joy,long,black,brown,female,asian,young-adult
./images/35_512.jpg,joy,long,black,brown,female,asian,young-adult
./images/36_512.jpg,joy,long,brown,brown,male,black,young-adult
./images/36_512.jpg,joy,long,brown,brown,male,black,young-adult
./images/36_512.jpg,joy,long,brown,brown,male,black,young-adult
./images/36_512.jpg,joy,long,brown,brown,male,black,young-adult
./images/36_512.jpg,joy,long,brown,brown,male,black,young-adult
./images/37_512.jpg,joy,long,brown,brown,female,white,young-adult
./images/37_512.jpg,joy,long,brown,brown,female,white,young-adult
./images/37_512.jpg,joy,long,brown,brown,female,white,young-adult
./images/37_512.jpg,joy,long,brown,brown,female,white,young-adult
./images/37_512.jpg,joy,long,brown,brown,female,white,young-adult
./images/38_512.jpg,joy,long,brown,brown,male,latino,young-adult
./images/38_512.jpg,joy,long,brown,brown,male,latino,young-adult
./images/38_512.jpg,joy,long,brown,brown,male,latino,young-adult
./images/38_512.jpg,joy,long,brown,brown,male,latino,young-adult
./images/38_512.jpg,joy,long,brown,brown,male,latino,young-adult
./images/39_512.jpg,joy,long,brown,brown,male,latino,young-adult
./images/39_512.jpg,joy,long,brown,brown,male,latino,young-adult
./images/39_512.jpg,joy,long,brown,brown,male,latino,young-adult
./images/39_512.jpg,joy,long,brown,brown,male,latino,young-adult
./images/39_512.jpg,joy,long,brown,brown,male,latino,young-adult
./images/40_512.jpg,joy,long,brown,grey,female,white,young-adult
./images/40_512.jpg,joy,long,brown,grey,female,white,young-adult
./images/40_512.jpg,joy,long,brown,grey,female,white,young-adult
./images/40_512.jpg,joy,long,brown,grey,female,white,young-adult
./images/40_512.jpg,joy,long,brown,grey,female,white,young-adult
./images/41_512.jpg,joy,long,brown,brown,female,latino,young-adult
./images/41_512.jpg,joy,long,brown,brown,female,latino,young-adult
./images/41_512.jpg,joy,long,brown,brown,female,latino,young-adult
./images/41_512.jpg,joy,long,brown,brown,female,latino,young-adult
./images/41_512.jpg,joy,long,brown,brown,female,latino,young-adult
./images/42_512.jpg,joy,long,brown,brown,male,asian,young-adult
./images/42_512.jpg,joy,long,brown,brown,male,asian,young-adult
./images/42_512.jpg,joy,long,brown,brown,male,asian,young-adult
./images/42_512.jpg,joy,long,brown,brown,male,asian,young-adult
./images/42_512.jpg,joy,long,brown,brown,male,asian,young-adult
./images/43_512.jpg,joy,long,brown,brown,male,latino,young-adult
./images/43_512.jpg,joy,long,brown,brown,male,latino,young-adult
./images/43_512.jpg,joy,long,brown,brown,male,latino,young-adult
./images/43_512.jpg,joy,long,brown,brown,male,latino,young-adult
./images/43_512.jpg,joy,long,brown,brown,male,latino,young-adult
./images/44_512.jpg,neutral,long,brown,brown,male,asian,young-adult
./images/44_512.jpg,neutral,long,brown,brown,male,asian,young-adult
./images/44_512.jpg,neutral,long,brown,brown,male,asian,young-adult
./images/44_512.jpg,neutral,long,brown,brown,male,asian,young-adult
./images/44_512.jpg,neutral,long,brown,brown,male,asian,young-adult
./images/45_512.jpg,joy,long,brown,brown,male,latino,young-adult
./images/45_512.jpg,joy,long,brown,brown,male,latino,young-adult
./images/45_512.jpg,joy,long,brown,brown,male,latino,young-adult
./images/45_512.jpg,joy,long,brown,brown,male,latino,young-adult
./images/45_512.jpg,joy,long,brown,brown,male,latino,young-adult
./images/46_512.jpg,joy,long,black,brown,female,black,young-adult
./images/46_512.jpg,joy,long,black,brown,female,black,young-adult
./images/46_512.jpg,joy,long,black,brown,female,black,young-adult
./images/46_512.jpg,joy,long,black,brown,female,black,young-adult
./images/46_512.jpg,joy,long,black,brown,female,black,young-adult
./images/47_512.jpg,neutral,long,black,brown,female,latino,young-adult
./images/47_512.jpg,neutral,long,black,brown,female,latino,young-adult
./images/47_512.jpg,neutral,long,black,brown,female,latino,young-adult
./images/47_512.jpg,neutral,long,black,brown,female,latino,young-adult
./images/47_512.jpg,neutral,long,black,brown,female,latino,young-adult
./images/48_512.jpg,joy,long,brown,brown,female,black,young-adult
./images/48_512.jpg,joy,long,brown,brown,female,black,young-adult
./images/48_512.jpg,joy,long,brown,brown,female,black,young-adult
./images/48_512.jpg,joy,long,brown,brown,female,black,young-adult
./images/48_512.jpg,joy,long,brown,brown,female,black,young-adult
./images/49_512.jpg,neutral,long,brown,brown,male,white,young-adult
./images/49_512.jpg,neutral,long,brown,brown,male,white,young-adult
./images/49_512.jpg,neutral,long,brown,brown,male,white,young-adult
./images/49_512.jpg,neutral,long,brown,brown,male,white,young-adult
./images/49_512.jpg,neutral,long,brown,brown,male,white,young-adult
./images/50_512.jpg,neutral,long,brown,brown,male,asian,young-adult
./images/50_512.jpg,neutral,long,brown,brown,male,asian,young-adult
./images/50_512.jpg,neutral,long,brown,brown,male,asian,young-adult
./images/50_512.jpg,neutral,long,brown,brown,male,asian,young-adult
./images/50_512.jpg,neutral,long,brown,brown,male,asian,young-adult
./images/51_512.jpg,joy,long,brown,brown,female,white,young-adult
./images/51_512.jpg,joy,long,brown,brown,female,white,young-adult
./images/51_512.jpg,joy,long,brown,brown,female,white,young-adult
./images/51_512.jpg,joy,long,brown,brown,female,white,young-adult
./images/51_512.jpg,joy,long,brown,brown,female,white,young-adult
./images/52_512.jpg,joy,long,brown,brown,female,black,young-adult
./images/52_512.jpg,joy,long,brown,brown,female,black,young-adult
./images/52_512.jpg,joy,long,brown,brown,female,black,young-adult
./images/52_512.jpg,joy,long,brown,brown,female,black,young-adult
./images/52_512.jpg,joy,long,brown,brown,female,black,young-adult
./images/53_512.jpg,joy,long,brown,brown,female,latino,young-adult
./images/53_512.jpg,joy,long,brown,brown,female,latino,young-adult
./images/53_512.jpg,joy,long,brown,brown,female,latino,young-adult
./images/53_512.jpg,joy,long,brown,brown,female,latino,young-adult
./images/53_512.jpg,joy,long,brown,brown,female,latino,young-adult
./images/54_512.jpg,neutral,long,brown,brown,male,asian,young-adult
./images/54_512.jpg,neutral,long,brown,brown,male,asian,young-adult
./images/54_512.jpg,neutral,long,brown,brown,male,asian,young-adult
./images/54_512.jpg,neutral,long,brown,brown,male,asian,young-adult
./images/54_512.jpg,neutral,long,brown,brown,male,asian,young-adult
./images/55_512.jpg,neutral,long,brown,brown,male,asian,young-adult
./images/55_512.jpg,neutral,long,brown,brown,male,asian,young-adult
./images/55_512.jpg,neutral,long,brown,brown,male,asian,young-adult
./images/55_512.jpg,neutral,long,brown,brown,male,asian,young-adult
./images/55_512.jpg,neutral,long,brown,brown,male,asian,young-adult
./images/56_512.jpg,neutral,long,brown,brown,female,asian,young-adult
./images/56_512.jpg,neutral,long,brown,brown,female,asian,young-adult
./images/56_512.jpg,neutral,long,brown,brown,female,asian,young-adult
./images/56_512.jpg,neutral,long,brown,brown,female,asian,young-adult
./images/56_512.jpg,neutral,long,brown,brown,female,asian,young-adult
./images/57_512.jpg,joy,long,brown,brown,male,white,young-adult
./images/57_512.jpg,joy,long,brown,brown,male,white,young-adult
./images/57_512.jpg,joy,long,brown,brown,male,white,young-adult
./images/57_512.jpg,joy,long,brown,brown,male,white,young-adult
