,age,gender,race,eye_color,hair_color,beard,image
0,3,1,0,0,2,1,images/000001.jpg
1,3,1,0,2,1,1,images/000002.jpg
2,4,0,0,0,0,1,images/000003.jpg
3,3,1,1,2,2,1,images/000004.jpg
4,3,0,0,2,2,1,images/000005.jpg
5,3,0,0,1,2,1,images/000006.jpg
6,3,1,0,1,0,0,images/000007.jpg
7,4,1,0,1,0,1,images/000008.jpg
8,4,1,0,0,2,1,images/000009.jpg
9,4,1,0,2,2,1,images/000010.jpg
10,4,1,0,1,0,1,images/000011.jpg
11,4,1,1,2,0,1,images/000012.jpg
12,4,0,0,2,1,1,images/000013.jpg
13,4,1,1,2,0,1,images/000014.jpg
14,3,0,0,2,2,1,images/000015.jpg
15,4,1,1,1,2,0,images/000016.jpg
16,3,0,0,0,0,1,images/000017.jpg
17,3,0,0,0,1,1,images/000018.jpg
18,3,0,0,0,1,1,images/000019.jpg
19,4,0,1,1,0,0,images/000020.jpg
20,4,1,0,2,3,1,images/000021.jpg
21,3,1,0,2,1,1,images/000022.jpg
22,4,1,0,0,2,1,images/000023.jpg
23,4,0,0,2,1,1,images/000024.jpg
24,4,0,0,0,2,1,images/000025.jpg
25,4,1,0,0,2,1,images/000026.jpg
26,4,1,1,0,0,1,images/000027.jpg
27,4,0,0,0,2,1,images/000028.jpg
28,4,0,0,2,1,1,images/000029.jpg
29,4,1,1,1,2,1,images/000030.jpg
30,4,0,0,0,0,1,images/000031.jpg
31,4,0,1,2,2,1,images/000032.jpg
32,4,0,0,0,0,0,images/000033.jpg
33,4,1,1,2,2,1,images/000034.jpg
34,4,1,0,2,0,1,images/000035.jpg
35,3,0,0,1,0,1,images/000036.jpg
36,4,0,1,1,0,0,images/000037.jpg
37,3,0,0,2,2,0,images/000038.jpg
38,4,1,0,1,2,1,images/000039.jpg
39,3,1,0,0,0,1,images/000040.jpg
40,3,0,0,2,0,1,images/000041.jpg
41,4,1,0,0,1,1,images/000042.jpg
42,4,1,0,1,2,1,images/000043.jpg
