,age,gender,race,eye_color,hair_color,beard,image
0,4,0,1,1,0,1,images/035001.jpg
1,4,1,0,1,2,1,images/035002.jpg
2,4,1,0,1,0,1,images/035003.jpg
3,4,1,1,1,0,1,images/035004.jpg
4,4,0,1,0,2,1,images/035005.jpg
5,4,1,1,1,0,1,images/035006.jpg
6,3,0,0,0,2,0,images/035007.jpg
7,3,1,0,0,2,1,images/035008.jpg
8,4,0,1,1,0,0,images/035009.jpg
9,0,0,0,0,1,1,images/035010.jpg
10,3,1,0,2,2,1,images/035011.jpg
11,4,1,0,0,2,1,images/035012.jpg
12,4,0,0,0,1,1,images/035013.jpg
13,3,1,0,0,1,1,images/035014.jpg
14,4,0,0,0,3,1,images/035015.jpg
15,3,1,0,1,2,0,images/035016.jpg
16,4,1,1,1,0,1,images/035017.jpg
17,4,1,1,2,2,1,images/035018.jpg
18,4,0,0,1,1,1,images/035019.jpg
19,4,0,0,2,2,1,images/035020.jpg
20,4,0,0,0,0,0,images/035021.jpg
21,4,1,0,1,0,1,images/035022.jpg
22,4,1,1,1,2,1,images/035023.jpg
23,4,0,1,0,1,1,images/035024.jpg
24,3,0,0,2,1,1,images/035025.jpg
25,4,0,0,0,1,1,images/035026.jpg
26,3,1,0,1,0,1,images/035027.jpg
27,3,1,0,1,0,1,images/035028.jpg
28,3,1,0,1,0,1,images/035029.jpg
29,4,0,1,1,2,0,images/035030.jpg
30,3,1,0,1,2,1,images/035031.jpg
31,3,1,0,2,1,1,images/035032.jpg
32,4,0,0,2,3,1,images/035033.jpg
33,3,1,0,1,0,1,images/035034.jpg
34,3,1,0,1,2,1,images/035035.jpg
35,4,0,0,2,2,1,images/035036.jpg
36,4,1,1,1,2,0,images/035037.jpg
37,4,0,1,1,2,1,images/035038.jpg
38,4,1,1,0,2,1,images/035039.jpg
39,4,1,0,1,0,0,images/035040.jpg
40,3,1,0,0,2,1,images/035041.jpg
41,4,1,1,1,3,1,images/035042.jpg
42,4,1,1,2,2,0,images/035043.jpg
43,3,1,0,1,0,1,images/035044.jpg
44,3,1,1,2,2,1,images/035045.jpg
45,4,0,1,2,1,1,images/035046.jpg
46,4,1,0,1,0,1,images/035047.jpg
47,3,1,0,0,2,1,images/035048.jpg
48,4,1,1,0,0,1,images/035049.jpg
49,4,1,1,2,2,1,images/035050.jpg
50,4,0,1,0,2,0,images/035051.jpg
51,4,1,1,0,0,1,images/035052.jpg
52,3,0,0,1,3,0,images/035053.jpg
53,3,1,1,2,0,1,images/035054.jpg
54,3,1,1,1,0,1,images/035055.jpg
55,4,1,0,1,2,1,images/035056.jpg
56,3,1,0,1,2,1,images/035057.jpg
57,3,0,0,2,2,1,images/035058.jpg
58,3,1,0,1,2,1,images/035059.jpg
59,4,1,1,1,0,1,images/035060.jpg
60,4,1,0,0,2,1,images/035061.jpg
61,4,1,1,1,2,1,images/035062.jpg
62,4,0,0,0,1,0,images/035063.jpg
63,4,1,1,1,0,1,images/035064.jpg
64,4,1,0,1,0,1,images/035065.jpg
65,4,1,1,1,2,1,images/035066.jpg
66,4,0,0,2,1,1,images/035067.jpg
67,4,1,1,1,0,1,images/035068.jpg
68,4,0,0,1,2,1,images/035069.jpg
69,3,1,0,1,0,1,images/035070.jpg
70,4,1,1,1,0,1,images/035071.jpg
71,4,1,1,2,0,0,images/035072.jpg
72,3,1,0,1,2,0,images/035073.jpg
73,4,1,1,1,3,1,images/035074.jpg
74,4,0,1,1,1,1,images/035075.jpg
75,4,0,0,2,3,1,images/035076.jpg
76,4,1,0,0,3,1,images/035077.jpg
77,4,1,1,0,1,1,images/035078.jpg
78,4,0,1,0,2,1,images/035079.jpg
79,4,0,0,2,0,1,images/035080.jpg
80,4,1,1,1,2,1,images/035081.jpg
81,3,1,0,0,1,1,images/035082.jpg
82,3,0,0,0,1,1,images/035083.jpg
83,4,0,1,0,2,0,images/035084.jpg
84,4,0,1,1,0,0,images/035085.jpg
85,3,0,0,2,1,1,images/035086.jpg
86,3,1,0,1,0,1,images/035087.jpg
87,4,1,0,1,3,1,images/035088.jpg
88,4,0,1,2,2,1,images/035089.jpg
89,3,1,0,0,3,1,images/035090.jpg
90,4,0,0,0,3,1,images/035091.jpg
91,3,0,0,2,3,1,images/035092.jpg
92,4,0,0,1,0,1,images/035093.jpg
93,3,0,0,0,1,1,images/035094.jpg
94,4,1,0,1,0,0,images/035095.jpg
95,3,1,0,2,0,0,images/035096.jpg
96,4,0,0,0,1,1,images/035097.jpg
97,4,0,1,0,1,1,images/035098.jpg
98,3,1,0,0,0,0,images/035099.jpg
99,4,1,0,1,2,1,images/035100.jpg
100,4,0,0,2,0,1,images/035101.jpg
101,4,1,1,1,0,0,images/035102.jpg
102,4,0,0,0,1,1,images/035103.jpg
103,4,1,1,1,0,1,images/035104.jpg
104,4,1,1,2,0,1,images/035105.jpg
105,4,0,0,2,3,1,images/035106.jpg
106,3,1,0,1,0,1,images/035107.jpg
107,4,1,0,1,0,1,images/035108.jpg
108,4,1,1,2,0,1,images/035109.jpg
109,3,1,0,1,2,1,images/035110.jpg
110,4,0,0,2,3,1,images/035111.jpg
111,4,0,1,1,2,1,images/035112.jpg
112,3,1,0,2,2,0,images/035113.jpg
113,3,1,0,0,0,0,images/035114.jpg
114,3,0,1,1,3,1,images/035115.jpg
115,4,1,0,0,0,0,images/035116.jpg
116,4,1,0,2,2,1,images/035117.jpg
117,4,1,0,2,0,1,images/035118.jpg
118,4,1,0,2,2,0,images/035119.jpg
119,4,1,1,1,2,1,images/035120.jpg
120,4,0,0,1,1,0,images/035121.jpg
121,4,1,1,1,3,0,images/035122.jpg
122,4,0,0,1,2,1,images/035123.jpg
123,4,0,0,0,3,1,images/035124.jpg
124,4,0,1,2,2,1,images/035125.jpg
125,3,0,0,1,2,1,images/035126.jpg
126,4,1,0,2,0,1,images/035127.jpg
127,3,1,0,2,2,1,images/035128.jpg
128,4,0,0,1,3,1,images/035129.jpg
129,3,1,1,1,0,1,images/035130.jpg
130,3,1,0,2,2,1,images/035131.jpg
131,4,1,0,0,3,0,images/035132.jpg
132,4,1,1,1,1,1,images/035133.jpg
133,3,1,0,1,2,1,images/035134.jpg
134,4,0,1,1,0,0,images/035135.jpg
135,4,1,1,1,2,1,images/035136.jpg
136,3,0,0,2,1,1,images/035137.jpg
137,4,1,0,2,3,0,images/035138.jpg
138,4,1,1,0,2,1,images/035139.jpg
139,4,0,1,1,3,1,images/035140.jpg
140,4,1,1,1,0,1,images/035141.jpg
141,4,0,0,1,2,1,images/035142.jpg
142,3,1,0,0,1,1,images/035143.jpg
143,4,1,0,2,2,1,images/035144.jpg
144,4,1,1,1,0,1,images/035145.jpg
145,3,0,0,1,3,1,images/035146.jpg
146,3,0,0,0,3,0,images/035147.jpg
147,4,0,1,1,0,0,images/035148.jpg
148,4,1,0,1,0,1,images/035149.jpg
149,4,1,0,1,2,1,images/035150.jpg
150,4,0,1,0,3,0,images/035151.jpg
151,3,1,0,2,2,1,images/035152.jpg
152,4,0,0,1,0,0,images/035153.jpg
153,4,1,0,1,1,1,images/035154.jpg
154,4,1,0,0,2,1,images/035155.jpg
155,3,0,0,0,3,0,images/035156.jpg
156,3,0,0,0,3,1,images/035157.jpg
157,3,1,0,2,2,1,images/035158.jpg
158,4,1,1,1,0,1,images/035159.jpg
159,4,0,0,2,2,1,images/035160.jpg
160,3,1,0,0,2,1,images/035161.jpg
161,4,0,0,0,3,1,images/035162.jpg
162,3,0,0,2,2,1,images/035163.jpg
163,4,0,1,1,2,1,images/035164.jpg
164,4,0,0,1,2,1,images/035165.jpg
165,3,1,0,1,2,1,images/035166.jpg
166,3,1,0,2,2,1,images/035167.jpg
167,4,0,1,2,0,0,images/035168.jpg
168,4,0,0,1,0,0,images/035169.jpg
169,3,1,1,1,0,1,images/035170.jpg
170,4,1,0,1,0,0,images/035171.jpg
171,3,1,0,0,1,1,images/035172.jpg
172,3,1,0,0,0,1,images/035173.jpg
173,4,0,0,0,1,1,images/035174.jpg
174,3,0,0,0,2,1,images/035175.jpg
175,4,1,1,1,0,0,images/035176.jpg
176,4,1,1,2,2,1,images/035177.jpg
177,4,0,0,0,3,1,images/035178.jpg
178,3,1,0,0,2,1,images/035179.jpg
179,4,1,0,2,2,1,images/035180.jpg
180,4,0,0,2,3,1,images/035181.jpg
181,4,0,0,1,0,0,images/035182.jpg
182,3,0,0,2,0,1,images/035183.jpg
183,3,1,0,1,0,1,images/035184.jpg
184,4,0,0,2,1,1,images/035185.jpg
185,3,0,0,0,1,1,images/035186.jpg
186,4,1,0,0,2,1,images/035187.jpg
187,4,0,0,0,2,1,images/035188.jpg
188,4,0,1,1,2,1,images/035189.jpg
189,3,1,0,2,2,1,images/035190.jpg
190,3,0,0,2,2,1,images/035191.jpg
191,4,1,1,1,1,1,images/035192.jpg
192,4,0,0,0,3,1,images/035193.jpg
193,3,0,0,0,2,0,images/035194.jpg
194,4,1,1,1,2,1,images/035195.jpg
195,4,1,1,2,0,0,images/035196.jpg
196,4,0,0,0,3,1,images/035197.jpg
197,4,1,1,1,2,1,images/035198.jpg
198,4,1,1,0,2,1,images/035199.jpg
199,3,0,0,0,0,1,images/035200.jpg
200,3,1,0,1,0,1,images/035201.jpg
201,4,1,1,2,2,1,images/035202.jpg
202,4,1,1,2,0,1,images/035203.jpg
